"gene","degree","weighted_degree"
"ENSG00000164761",4826,6917
"ENSG00000172889",4826,6917
"ENSG00000173193",4826,6917
"ENSG00000182359",4826,6917
"ENSG00000183696",4826,6917
"ENSG00000184752",4826,6917
"ENSG00000184979",4826,6917
"ENSG00000185507",4826,6917
"ENSG00000196924",4826,6917
"ENSG00000198417",4826,6917
"ENSG00000204104",4826,6917
"ENSG00000213928",4826,6917
"ENSG00000231768",4826,6917
"ENSG00000250305",4826,6917
"ENSG00000255248",4826,6917
"ENSG00000002549",4712,6841
"ENSG00000005249",4712,6841
"ENSG00000008394",4712,6841
"ENSG00000010818",4712,6841
"ENSG00000026508",4712,6841
"ENSG00000066248",4712,6841
"ENSG00000071127",4712,6841
"ENSG00000073150",4712,6841
"ENSG00000073464",4712,6841
"ENSG00000077063",4712,6841
"ENSG00000077264",4712,6841
"ENSG00000077782",4712,6841
"ENSG00000078814",4712,6841
"ENSG00000089876",4712,6841
"ENSG00000090013",4712,6841
"ENSG00000099365",4712,6841
"ENSG00000100379",4712,6841
"ENSG00000107518",4712,6841
"ENSG00000109861",4712,6841
"ENSG00000112541",4712,6841
"ENSG00000112759",4712,6841
"ENSG00000113763",4712,6841
"ENSG00000114573",4712,6841
"ENSG00000115365",4712,6841
"ENSG00000115457",4712,6841
"ENSG00000117154",4712,6841
"ENSG00000119866",4712,6841
"ENSG00000120162",4712,6841
"ENSG00000120265",4712,6841
"ENSG00000122026",4712,6841
"ENSG00000125845",4712,6841
"ENSG00000126822",4712,6841
"ENSG00000128602",4712,6841
"ENSG00000130475",4712,6841
"ENSG00000130508",4712,6841
"ENSG00000134780",4712,6841
"ENSG00000135404",4712,6841
"ENSG00000136750",4712,6841
"ENSG00000138080",4712,6841
"ENSG00000138442",4712,6841
"ENSG00000138496",4712,6841
"ENSG00000142534",4712,6841
"ENSG00000143479",4712,6841
"ENSG00000144331",4712,6841
"ENSG00000145864",4712,6841
"ENSG00000145920",4712,6841
"ENSG00000149781",4712,6841
"ENSG00000150625",4712,6841
"ENSG00000151729",4712,6841
"ENSG00000152413",4712,6841
"ENSG00000158008",4712,6841
"ENSG00000159214",4712,6841
"ENSG00000160469",4712,6841
"ENSG00000162694",4712,6841
"ENSG00000163565",4712,6841
"ENSG00000163964",4712,6841
"ENSG00000163995",4712,6841
"ENSG00000164167",4712,6841
"ENSG00000164488",4712,6841
"ENSG00000164576",4712,6841
"ENSG00000164708",4712,6841
"ENSG00000165029",4712,6841
"ENSG00000165030",4712,6841
"ENSG00000165566",4712,6841
"ENSG00000165685",4712,6841
"ENSG00000166250",4712,6841
"ENSG00000166394",4712,6841
"ENSG00000168438",4712,6841
"ENSG00000168824",4712,6841
"ENSG00000169692",4712,6841
"ENSG00000170579",4712,6841
"ENSG00000172508",4712,6841
"ENSG00000174607",4712,6841
"ENSG00000176194",4712,6841
"ENSG00000176845",4712,6841
"ENSG00000176956",4712,6841
"ENSG00000181085",4712,6841
"ENSG00000181409",4712,6841
"ENSG00000181856",4712,6841
"ENSG00000182010",4712,6841
"ENSG00000183960",4712,6841
"ENSG00000184524",4712,6841
"ENSG00000185088",4712,6841
"ENSG00000185760",4712,6841
"ENSG00000187730",4712,6841
"ENSG00000188153",4712,6841
"ENSG00000197860",4712,6841
"ENSG00000204116",4712,6841
"ENSG00000205476",4712,6841
