DISORDER,STUDY,YEAR,TISSUE,GENEID,LOG2FC,PVAL,-LOGPVAL,,
AD,Wingo,2015,PBMC,ENSG00001673543,0.1385018800,0.0135270000,1.8687985100,,
AD,Wingo,2015,PBMC,ENSG00000167460,-0.1510921000,0.0135280000,1.8687664054,,
AD,Wingo,2015,PBMC,ENSG00001748601,0.1946654100,0.0137030000,1.8631843423,,
AD,Wingo,2015,PBMC,ENSG00001801109,0.1051090200,0.0137740000,1.8609399214,,
AD,Wingo,2015,PBMC,ENSG00001713285,-0.1372011000,0.0138400000,1.8588639099,,
AD,Wingo,2015,PBMC,ENSG00001794780,-0.1983835000,0.0138620000,1.8581741055,,
AD,Wingo,2015,PBMC,ENSG00001732923,0.1930563900,0.0139220000,1.8562983706,,
AD,Wingo,2015,PBMC,ENSG00002092118,0.1845545100,0.0139240000,1.8562359854,,
AD,Wingo,2015,PBMC,ENSG00001752117,0.1533157900,0.0140540000,1.8522000508,,
AD,Wingo,2015,PBMC,ENSG00002165753,1.3145977400,0.0141640000,1.8488140819,,
AD,Wingo,2015,PBMC,ENSG00001815024,-0.1913139000,0.0141680000,1.8486914518,,
AD,Wingo,2015,PBMC,ENSG00000168904,0.1740582700,0.0141950000,1.8478646031,,
AD,Wingo,2015,PBMC,ENSG00000180176,0.1336710500,0.0142280000,1.8468561435,,
AD,Wingo,2015,PBMC,ENSG00000166454,0.4717650400,0.0142390000,1.8465205100,,
AD,Wingo,2015,PBMC,ENSG00001662426,-0.1480470000,0.0142480000,1.8462460935,,
AD,Wingo,2015,PBMC,ENSG00001739622,0.1118947400,0.0142670000,1.8456673388,,
AD,Wingo,2015,PBMC,ENSG00000166863,-0.2540188000,0.0145650000,1.8366895110,,
AD,Wingo,2015,PBMC,ENSG00001713807,0.1024135300,0.0146260000,1.8348744309,,
AD,Wingo,2015,PBMC,ENSG00000240864,0.1419736800,0.0146730000,1.8334810825,,
AD,Wingo,2015,PBMC,ENSG00000176809,0.1254906000,0.0147000000,1.8326826653,,
AD,Wingo,2015,PBMC,ENSG00001655611,-0.1237632000,0.0147050000,1.8325349712,,
AD,Wingo,2015,PBMC,ENSG00002359710,-0.1106823000,0.0149030000,1.8267262985,,
AD,Wingo,2015,PBMC,ENSG00001671583,-0.2525583000,0.0149120000,1.8264641050,,
AD,Wingo,2015,PBMC,ENSG00002112988,0.1991522600,0.0150420000,1.8226944157,,
AD,Wingo,2015,PBMC,ENSG00001788017,0.1551842100,0.0151560000,1.8194154034,,
AD,Wingo,2015,PBMC,ENSG00002294976,-0.1078722000,0.0151870000,1.8185280071,,
AD,Wingo,2015,PBMC,ENSG00001747160,-0.1334737000,0.0151980000,1.8182135598,,
AD,Wingo,2015,PBMC,ENSG00001679917,0.1249849600,0.0154170000,1.8120001276,,
AD,Wingo,2015,PBMC,ENSG00001739428,0.3538533800,0.0154900000,1.8099485822,,
AD,Wingo,2015,PBMC,ENSG00000227863,0.1175864700,0.0155100000,1.8093882022,,
AD,Wingo,2015,PBMC,ENSG00000174775,0.1359793200,0.0156230000,1.8062355672,,
AD,Wingo,2015,PBMC,ENSG00001704286,-0.1062274000,0.0156870000,1.8044601035,,
AD,Wingo,2015,PBMC,ENSG00001733581,-0.3194154000,0.0158550000,1.7998337536,,
AD,Wingo,2015,PBMC,ENSG00001786328,-0.3186899000,0.0159470000,1.7973210058,,
AD,Wingo,2015,PBMC,ENSG00000168646,0.1126785700,0.0164300000,1.7843624366,,
AD,Wingo,2015,PBMC,ENSG00001699598,-0.1656353000,0.0164360000,1.7842038674,,
AD,Wingo,2015,PBMC,ENSG00002246661,-0.1397932000,0.0164460000,1.7839397141,,
AD,Wingo,2015,PBMC,ENSG00001801931,-0.1012820000,0.0166450000,1.7787162005,,
AD,Wingo,2015,PBMC,ENSG00001779735,0.1320357100,0.0167400000,1.7762445463,,
AD,Wingo,2015,PBMC,ENSG00001654488,0.1039774400,0.0167800000,1.7752080435,,
AD,Wingo,2015,PBMC,ENSG00001692267,-0.1430263000,0.0168090000,1.7744581228,,
AD,Wingo,2015,PBMC,ENSG00002413064,-0.2907669000,0.0169020000,1.7720619026,,
AD,Wingo,2015,PBMC,ENSG00000178217,-0.1569135000,0.0171390000,1.7660145212,,
AD,Wingo,2015,PBMC,ENSG00001758356,-0.1475038000,0.0171450000,1.7658625105,,
AD,Wingo,2015,PBMC,ENSG00000237773,0.1302800800,0.0172680000,1.7627579600,,
AD,Wingo,2015,PBMC,ENSG00001705241,0.1130488700,0.0172840000,1.7623557424,,
AD,Wingo,2015,PBMC,ENSG00000170006,0.1487575200,0.0172860000,1.7623054913,,
AD,Wingo,2015,PBMC,ENSG00001669189,0.1150432300,0.0173290000,1.7612264983,,
AD,Wingo,2015,PBMC,ENSG00000204859,0.2601785700,0.0175490000,1.7557476260,,
AD,Wingo,2015,PBMC,ENSG00002156267,-0.2027575000,0.0176900000,1.7522721671,,
AD,Wingo,2015,PBMC,ENSG00002320906,0.1752763200,0.0177630000,1.7504836842,,
AD,Wingo,2015,PBMC,ENSG00001660624,0.1013947400,0.0178410000,1.7485808068,,
